US State,C1,C2,C3,C4,C5,C6,C7,C8,C9
Alabama,0.03540641208870889,0.022672201827795287,0.004008963263031935,0.020428386540417762,0.011721346526762927,0.2830905477073224,0.00030066978772114557,0.5490278372595964,0.07334363499864328
Alaska,0.9971628102850643,0.0007033951703693334,0.0004417156093142613,1.5929541477909795e-05,7.277429150990212e-05,0.0015574205726462558,2.4940997392641968e-06,1.2878098127771045e-05,3.0582331751060474e-05
Arizona,0.04329111485702653,0.572388130035683,0.04074777981650308,0.19170851346563605,0.09369903831239403,0.018585777434792564,0.012700959243074971,0.02351335955165318,0.0033653272832365657
Arkansas,0.9612436104758686,0.00032537254739871765,0.003146755760011583,0.00028098598079969497,7.764328797278318e-05,0.018819464680140646,0.00020586762554371919,0.010947084013009806,0.004953215629254597
California,0.9775655152054389,0.004955822723964938,0.016270838911172033,0.000983373429413608,0.00013160310130348656,5.091222683312214e-05,2.282759309632827e-05,1.136734545388244e-05,7.739463323642576e-06
Colorado,0.5898009828631477,0.2000662312556616,0.01014309436660082,0.04184984605680769,0.1402327939172683,0.0001073616550938746,0.011730144887048006,0.005767798532461991,0.00030174646590997014
Connecticut,0.9787052381806978,0.011686566764075163,0.0028335794174592878,0.0019843662826599636,0.0011310020316786145,0.0012037189291150524,0.0002326377744131635,0.0020600334795086704,0.00016285714039216182
Delaware,0.994484249659284,7.270164697619128e-05,0.00063479801332639,0.0005154626609587201,0.003403527791836621,0.0007967648448784661,4.655525154571859e-06,6.930024655207466e-05,1.8539611033048737e-05
District of Columbia,0.9946515953747779,2.2298649119513467e-05,0.0014613382096236981,0.0001286006094442489,0.0018444228312391984,0.0015719453154596002,0.00026357551485665383,1.6129711824191861e-06,5.461052429682897e-05
Florida,0.9657044047853224,0.0004382892124820299,0.0073351697388672294,0.02376085959999982,0.0020738174058967684,0.00035900921197955525,0.0002066434423458482,0.00012161092829961918,1.9567480664506148e-07
Georgia,0.8884552446141083,0.007951769540659083,0.062327813675741396,0.03594359808434011,0.00017459911936172398,0.004080353485431655,0.0003106949241170552,0.0006721143106617852,8.38122455788905e-05
Hawaii,0.9683016445043281,0.004642789783965714,0.016000115398210422,0.003094387003995432,0.0002663203896522006,0.002114546008785756,0.004325353648901215,0.0006014351487477089,0.0006534081134136171
Idaho,0.9929776231754818,0.0040399657525335315,0.0011309505178282787,0.0005996969447063709,0.000566615634894748,0.0004812751368198772,2.0141030038213794e-07,0.00018056031140646137,2.3111116028542175e-05
Illinois,0.9185742952898481,0.04835342821408321,0.014309496923505555,0.012059968858991925,0.0025558796444666533,0.00026250693004168464,0.0028583248693685123,0.0009256037512769711,0.00010049551841724501
Indiana,0.6716804071929072,0.0008553783418801353,0.20841198766078323,0.00042417127730298026,0.00966443994509443,0.06767027992768347,0.00032832524018600376,0.04025436216453112,0.0007106482496313432
Iowa,0.9640094020282154,0.007051735928150261,0.017616941194840644,0.0014264187164448067,0.003034095990346733,0.002235915417857891,0.004342648094346054,0.00019187278835625384,9.096984144208776e-05
Kansas,0.9917030262052835,1.6207837137707634e-05,0.001312816271438145,0.0015322087978351052,0.000322759148220585,6.0620753040970874e-05,0.002699334709456997,0.0020708831243289464,0.00028214315325810727
